ESTIMATEDTOTALACRES,ORIGINSLOPE,ORIGINASPECT,ORIGINELEVATION,SPRUCE,MUNDRA,GRASS,BRUSH,HARD,LEAF,UNKNOWN,OTHER
0.1,0-25,S,0-500,0,0,0,0,0,0,0,1
0.1,0-25,S,0-500,0,0,0,0,1,0,0,0
0.1,0-25,NW,501-1500,0,0,0,0,1,0,0,0
0.1,0-25,NW,0-500,0,0,1,0,0,0,0,0
0.1,Unknown,Unknown,Unknown,0,0,0,0,0,0,1,0
0.1,0-25,W,0-500,0,0,0,0,1,0,0,0
0.1,0-25,NE,0-500,1,0,0,0,0,0,0,0
0.1,0-25,SW,501-1500,0,0,1,0,0,0,0,0
0.1,0-25,W,0-500,0,0,0,0,0,0,0,1
0.1,0-25,W,501-1500,1,0,0,0,0,0,0,0
0.1,0-25,NE,1501-2500,1,0,0,0,0,0,0,0
0.1,0-25,S,2501-3500,1,0,0,0,0,0,0,0
249.5,0-25,SW,1501-2500,1,0,0,0,0,0,0,0
0.1,26-40,NE,0-500,0,0,0,0,1,0,0,0
0.1,0-25,NE,1501-2500,1,0,0,0,0,0,0,0
246.2,0-25,E,1501-2500,0,0,0,0,1,0,0,0
0.1,Unknown,Unknown,Unknown,0,0,0,0,0,0,1,0
0.1,0-25,SE,501-1500,0,0,0,0,1,0,0,0
27.6,0-25,NE,1501-2500,0,0,0,0,1,0,0,0
1.5,0-25,NE,501-1500,0,0,1,0,0,0,0,0
0.1,0-25,E,501-1500,1,0,0,0,0,0,0,0
0.1,0-25,S,1501-2500,0,0,1,0,0,0,0,0
0.1,0-25,SE,0-500,0,0,0,0,1,0,0,0
0.1,0-25,E,501-1500,0,0,1,0,0,0,0,0
0.1,0-25,S,501-1500,0,0,1,0,0,0,0,0
11.3,0-25,SE,501-1500,1,0,0,0,0,0,0,0
1.3,0-25,NW,501-1500,1,0,0,0,0,0,0,0
1.7,0-25,Flat,0-500,0,0,1,0,0,0,0,0
13,0-25,N,0-500,0,0,0,0,0,0,0,1
0.1,0-25,NE,1501-2500,0,0,1,0,0,0,0,0
0,Unknown,Unknown,Unknown,0,0,0,0,0,0,1,0
0.1,0-25,SE,501-1500,0,0,0,0,1,0,0,0
0.1,0-25,Flat,Unknown,0,0,1,0,0,0,0,0
0.1,0-25,N,0-500,0,0,1,0,0,0,0,0
0.1,0-25,E,0-500,0,0,0,0,0,0,0,1
0.1,0-25,N,501-1500,0,0,1,0,0,0,0,0
0.1,Unknown,Unknown,Unknown,0,0,0,0,0,0,1,0
0.2,0-25,Flat,0-500,0,0,1,0,0,0,0,0
0.1,0-25,Flat,Unknown,0,0,0,0,0,0,0,1
19.8,0-25,E,3501-4500,0,0,0,0,1,0,0,0
0.8,0-25,SE,501-1500,1,0,0,0,0,0,0,0
1,0-25,N,0-500,1,0,0,0,0,0,0,0
0.1,0-25,E,0-500,0,0,1,0,0,0,0,0
1.3,0-25,SW,501-1500,1,0,0,0,0,0,0,0
0.1,0-25,S,0-500,0,0,1,0,0,0,0,0
0.1,0-25,S,1501-2500,0,0,1,0,0,0,0,0
0.1,0-25,NW,0-500,0,0,1,0,0,0,0,0
0.1,0-25,E,0-500,0,0,1,0,0,0,0,0
